frame_index,timestamp_sec,track_class,label,confidence,x1,y1,x2,y2,cx,cy,track_id,is_rider,speed_kmh,speed_confidence
0,0.0,vehicle,motor,0.86,1110.0,359.8,1139.9,415.3,1125.0,387.6,1,False,,
0,0.0,vehicle,motor,0.834,1242.1,271.1,1277.1,316.7,1259.6,293.9,2,False,,
0,0.0,vehicle,car,0.796,932.5,117.9,973.6,173.9,953.0,145.9,3,False,,
0,0.0,vehicle,motor,0.777,1057.0,247.3,1080.7,293.3,1068.9,270.3,4,False,,
0,0.0,pedestrian,pedestrian,0.742,363.3,156.8,383.8,201.9,373.6,179.3,5,False,,
0,0.0,vehicle,truck,0.726,981.4,112.6,1042.1,205.6,1011.7,159.1,6,False,,
0,0.0,vehicle,motor,0.665,1044.3,215.1,1069.1,257.4,1056.7,236.3,7,False,,
0,0.0,pedestrian,pedestrian,0.622,82.4,122.0,104.1,155.7,93.3,138.9,8,False,,
0,0.0,pedestrian,pedestrian,0.528,275.5,2.6,288.9,31.5,282.2,17.0,9,False,,
0,0.0,vehicle,motor,0.463,175.5,304.6,214.3,332.2,194.9,318.4,10,False,,
0,0.0,pedestrian,pedestrian,0.457,175.8,21.4,189.6,48.9,182.7,35.2,11,False,,
0,0.0,pedestrian,pedestrian,0.43,128.3,44.8,145.4,79.4,136.9,62.1,12,False,,
0,0.0,pedestrian,pedestrian,0.411,609.8,301.3,629.3,344.2,619.6,322.8,13,False,,
0,0.0,vehicle,motor,0.396,265.5,160.7,304.4,184.3,284.9,172.5,14,False,,
0,0.0,vehicle,motor,0.372,210.4,235.0,251.4,262.5,230.9,248.7,15,False,,
0,0.0,vehicle,motor,0.367,111.8,370.6,160.6,397.7,136.2,384.1,16,False,,
0,0.0,vehicle,motor,0.361,225.4,223.0,263.1,251.0,244.3,237.0,17,False,,
1,0.042,vehicle,motor,0.86,1109.9,359.8,1139.8,415.5,1124.9,387.7,1,False,,
1,0.042,vehicle,car,0.858,932.1,116.5,973.3,172.8,952.7,144.6,3,False,,
1,0.042,vehicle,motor,0.827,1241.9,270.8,1277.0,316.6,1259.4,293.7,2,False,,
