track_id,label,frame_index,timestamp_sec,peak_speed_kmh,speed_limit_kmh,snapshot_path,violation_type
23,motor,59,2.461,50.6,8.0,C:\Users\Yenka\Desktop\Prime Time\Road-User-Intelligence-System\data\violations\DJI_0567_720p\violation_track23_motor_51kmh.jpg,failure_to_yield
23,motor,61,2.544,50.6,30.0,C:\Users\Yenka\Desktop\Prime Time\Road-User-Intelligence-System\data\violations\DJI_0567_720p\violation_track23_motor_50kmh.jpg,speeding
49,motor,66,2.753,58.8,8.0,C:\Users\Yenka\Desktop\Prime Time\Road-User-Intelligence-System\data\violations\DJI_0567_720p\violation_track49_motor_59kmh.jpg,failure_to_yield
49,motor,70,2.92,59.0,30.0,C:\Users\Yenka\Desktop\Prime Time\Road-User-Intelligence-System\data\violations\DJI_0567_720p\violation_track49_motor_59kmh.jpg,speeding
91,motor,123,5.13,58.4,8.0,C:\Users\Yenka\Desktop\Prime Time\Road-User-Intelligence-System\data\violations\DJI_0567_720p\violation_track91_motor_58kmh.jpg,failure_to_yield
91,motor,126,5.255,59.3,30.0,C:\Users\Yenka\Desktop\Prime Time\Road-User-Intelligence-System\data\violations\DJI_0567_720p\violation_track91_motor_59kmh.jpg,speeding
89,motor,140,5.839,50.4,8.0,C:\Users\Yenka\Desktop\Prime Time\Road-User-Intelligence-System\data\violations\DJI_0567_720p\violation_track89_motor_50kmh.jpg,failure_to_yield
89,motor,143,5.964,51.0,30.0,C:\Users\Yenka\Desktop\Prime Time\Road-User-Intelligence-System\data\violations\DJI_0567_720p\violation_track89_motor_51kmh.jpg,speeding
153,awning-tricycle,235,9.801,67.5,30.0,C:\Users\Yenka\Desktop\Prime Time\Road-User-Intelligence-System\data\violations\DJI_0567_720p\violation_track153_awning-tricycle_67kmh.jpg,speeding
177,tricycle,305,12.721,46.6,30.0,C:\Users\Yenka\Desktop\Prime Time\Road-User-Intelligence-System\data\violations\DJI_0567_720p\violation_track177_tricycle_47kmh.jpg,speeding
196,tricycle,367,15.307,30.7,30.0,C:\Users\Yenka\Desktop\Prime Time\Road-User-Intelligence-System\data\violations\DJI_0567_720p\violation_track196_tricycle_31kmh.jpg,speeding
206,awning-tricycle,378,15.766,47.1,30.0,C:\Users\Yenka\Desktop\Prime Time\Road-User-Intelligence-System\data\violations\DJI_0567_720p\violation_track206_awning-tricycle_47kmh.jpg,speeding
273,motor,452,18.852,45.7,30.0,C:\Users\Yenka\Desktop\Prime Time\Road-User-Intelligence-System\data\violations\DJI_0567_720p\violation_track273_motor_46kmh.jpg,speeding
300,motor,520,21.688,58.5,30.0,C:\Users\Yenka\Desktop\Prime Time\Road-User-Intelligence-System\data\violations\DJI_0567_720p\violation_track300_motor_57kmh.jpg,speeding
326,motor,529,22.064,62.9,8.0,C:\Users\Yenka\Desktop\Prime Time\Road-User-Intelligence-System\data\violations\DJI_0567_720p\violation_track326_motor_63kmh.jpg,failure_to_yield
326,motor,533,22.231,62.9,30.0,C:\Users\Yenka\Desktop\Prime Time\Road-User-Intelligence-System\data\violations\DJI_0567_720p\violation_track326_motor_62kmh.jpg,speeding
261,motor,533,22.231,21.4,8.0,C:\Users\Yenka\Desktop\Prime Time\Road-User-Intelligence-System\data\violations\DJI_0567_720p\violation_track261_motor_21kmh.jpg,failure_to_yield
341,truck,597,24.9,58.8,30.0,C:\Users\Yenka\Desktop\Prime Time\Road-User-Intelligence-System\data\violations\DJI_0567_720p\violation_track341_truck_59kmh.jpg,speeding
349,car,610,25.442,49.3,30.0,C:\Users\Yenka\Desktop\Prime Time\Road-User-Intelligence-System\data\violations\DJI_0567_720p\violation_track349_car_49kmh.jpg,speeding
380,motor,666,27.778,52.9,8.0,C:\Users\Yenka\Desktop\Prime Time\Road-User-Intelligence-System\data\violations\DJI_0567_720p\violation_track380_motor_53kmh.jpg,failure_to_yield
380,motor,669,27.903,53.2,30.0,C:\Users\Yenka\Desktop\Prime Time\Road-User-Intelligence-System\data\violations\DJI_0567_720p\violation_track380_motor_53kmh.jpg,speeding
393,motor,677,28.237,64.0,30.0,C:\Users\Yenka\Desktop\Prime Time\Road-User-Intelligence-System\data\violations\DJI_0567_720p\violation_track393_motor_64kmh.jpg,speeding
440,motor,749,31.24,56.3,8.0,C:\Users\Yenka\Desktop\Prime Time\Road-User-Intelligence-System\data\violations\DJI_0567_720p\violation_track440_motor_56kmh.jpg,failure_to_yield
440,motor,752,31.365,56.4,30.0,C:\Users\Yenka\Desktop\Prime Time\Road-User-Intelligence-System\data\violations\DJI_0567_720p\violation_track440_motor_55kmh.jpg,speeding
436,motor,769,32.074,42.2,8.0,C:\Users\Yenka\Desktop\Prime Time\Road-User-Intelligence-System\data\violations\DJI_0567_720p\violation_track436_motor_42kmh.jpg,failure_to_yield
